response	cluster	gene	group1	group2	n_group1	n_group2	p_val	auc	avg_log2FC	pct.1	pct.2	p_val_adj	pct.diff	n
responders	Trm_merge	TP53INP1	responders_Pre	responders_Post	2112	459	1.9701707307243664e-9	0.5682297856011091	0.3484958137727018	0.277	0.146	6.844964169755666e-5	0.13100000000000003	1
responders	Trm_merge	ANP32B	responders_Pre	responders_Post	2112	459	2.078723358929955e-9	0.5885024674853107	0.35183142892353536	0.77	0.734	7.222108565930343e-5	0.03600000000000003	1
responders	Trm_merge	SLA2	responders_Pre	responders_Post	2112	459	2.2306640574368292e-9	0.5598292978807685	0.36444833518646774	0.203	0.085	7.749996134752777e-5	0.118	1
responders	Trm_merge	CREBZF	responders_Pre	responders_Post	2112	459	2.255164475926344e-9	0.5844871302898264	0.528655370758957	0.558	0.464	7.835117938710896e-5	0.09400000000000004	1
responders	Trm_merge	LRMP	responders_Pre	responders_Post	2112	459	2.288332324310605e-9	0.5479756717501816	0.28395971585618685	0.125	0.031	7.950352994352335e-5	0.094	1
responders	Trm_merge	NPDC1	responders_Pre	responders_Post	2112	459	3.5048140535928413e-9	0.5477894756387404	0.2672820649640847	0.127	0.033	1.217677546639761e-4	0.094	1
responders	Trm_merge	LAYN	responders_Pre	responders_Post	2112	459	3.5468934378874526e-9	0.5726685771109791	0.4564348948207835	0.344	0.209	1.2322971871252378e-4	0.13499999999999998	1
responders	Trm_merge	TRPS1	responders_Pre	responders_Post	2112	459	3.55993326069566e-9	0.563517631379151	0.41232274911174194	0.241	0.118	1.2368276127634932e-4	0.123	1
responders	Trm_merge	HCST	responders_Pre	responders_Post	2112	459	3.5957385621186383e-9	0.5851272116590744	0.3710518248537471	0.635	0.497	1.2492674486368788e-4	0.138	1
responders	Trm_merge	CCNG2	responders_Pre	responders_Post	2112	459	3.6204265054156542e-9	0.5746543251138839	0.4294944958433527	0.374	0.233	1.257844780776561e-4	0.141	1
responders	Trm_merge	D2HGDH	responders_Pre	responders_Post	2112	459	4.9808292969436845e-9	0.5554735467419291	0.3606156050729292	0.179	0.072	1.7304895226371444e-4	0.107	1
responders	Trm_merge	MAP3K1	responders_Pre	responders_Post	2112	459	5.319663904264074e-9	0.5693026053013798	0.4240194337494668	0.309	0.185	1.8482108302584672e-4	0.124	1
responders	Trm_merge	CIRBP	responders_Pre	responders_Post	2112	459	5.40914154825451e-9	0.5838547856011091	0.3872926263968019	0.614	0.519	1.8792980481100645e-4	0.09499999999999996	1
responders	Trm_merge	TNS3	responders_Pre	responders_Post	2112	459	5.45855697834621e-9	0.5371515399088929	0.25485633956585846	0.079	0.004	1.896466450986824e-4	0.075	1
responders	Trm_merge	SEC14L1	responders_Pre	responders_Post	2112	459	5.486098499840394e-9	0.5711160832177989	0.3853462610199293	0.334	0.203	1.906035201799548e-4	0.131	1
responders	Trm_merge	NAMPT	responders_Pre	responders_Post	2112	459	5.782398442457985e-9	0.5776824618736384	0.5600283793959907	0.44	0.327	2.008978690863178e-4	0.113	1
responders	Trm_merge	SAT1	responders_Pre	responders_Post	2112	459	7.147076536016478e-9	0.5824714671222024	0.41018291394950745	0.588	0.466	2.483108800908205e-4	0.12199999999999994	1
responders	Trm_merge	LIMS1	responders_Pre	responders_Post	2112	459	8.074122656948385e-9	0.5771579149336502	0.4260805305591787	0.45	0.307	2.8051924347035777e-4	0.14300000000000002	1
