CellType	gene_name	log2FoldChange_il23	log2FoldChange_il17	padj_il23	padj_il17	significant_il23	significant_il17	radar_gene	pv50_gene
Teff	MAP7D1	-0.153	0.299	0.818	0.826	FALSE	FALSE	FALSE	FALSE
Teff	THRAP3	-0.072	0.488	0.923	0.592	FALSE	FALSE	FALSE	FALSE
Teff	EVA1B	-0.67	0.529	0.19	0.776	FALSE	FALSE	FALSE	FALSE
Teff	STK40	0.084	-0.057	0.956	0.974	FALSE	FALSE	FALSE	FALSE
Teff	LSM10	-0.05	0.876	0.959	0.488	FALSE	FALSE	FALSE	FALSE
Teff	MRPS15	-0.001	0.111	0.999	0.937	FALSE	FALSE	FALSE	FALSE
Teff	LINC01137	-0.118	0.108	0.961	0.962	FALSE	FALSE	FALSE	FALSE
Teff	ZC3H12A	-0.052	0.978	0.987	0.508	FALSE	FALSE	FALSE	FALSE
Teff	MEAF6	0.186	0.495	0.703	0.641	FALSE	FALSE	FALSE	FALSE
Teff	SNIP1	0.177	-0.812	0.776	0.514	FALSE	FALSE	FALSE	FALSE
Teff	GNL2	0.049	1.543	0.969	0.111	FALSE	FALSE	FALSE	FALSE
Teff	C1orf109	-0.272	0.449	0.747	0.778	FALSE	FALSE	FALSE	FALSE
Teff	CDCA8	0.144	-0.178	0.963	0.931	FALSE	FALSE	FALSE	FALSE
Teff	YRDC	0.008	0.911	0.997	0.581	FALSE	FALSE	FALSE	FALSE
Teff	C1orf122	-0.3	0.555	0.4	0.714	FALSE	FALSE	FALSE	FALSE
Teff	MTF1	0.162	0.133	0.873	0.896	FALSE	FALSE	FALSE	FALSE
Teff	INPP5B	-0.032	-0.758	0.992	0.581	FALSE	FALSE	FALSE	FALSE
Teff	SF3A3	0.096	0.015	0.88	0.99	FALSE	FALSE	FALSE	FALSE
Teff	FHL3	-0.312	0.357	0.781	0.858	FALSE	FALSE	FALSE	FALSE
Teff	UTP11	0.336	0.056	0.651	0.958	FALSE	FALSE	FALSE	FALSE
Teff	POU3F1	-1.047	-0.513	0.636	0.782	FALSE	FALSE	FALSE	FALSE
Teff	RRAGC	0.056	-0.526	0.957	0.697	FALSE	FALSE	FALSE	FALSE
Teff	MYCBP	0.465	0.481	0.51	0.668	FALSE	FALSE	FALSE	FALSE
Teff	AKIRIN1	-0.078	-0.191	0.951	0.9	FALSE	FALSE	FALSE	FALSE
